,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
0,81,Mo Alie-Cox,27,TE,267,6-5,Virginia Commonwealth,2,,IND,0,0,0,1,0
4,3,Rodrigo Blankenship ,23,K,191,6-1,Georgia,Rook,,IND,0,0,0,0,1
5,7,Jacoby Brissett,28,QB,238,6-4,"Florida,North Carolina St.",4,,IND,1,0,0,0,0
7,80,Trey Burton,29,TE,238,6-2,Florida,6,,IND,0,0,0,1,0
13,84,Jack Doyle,30,TE,262,6-6,Western Kentucky,7,,IND,0,0,0,1,0
14,16,Ashton Dulin,23,WR,215,6-1,Malone,1,,IND,0,0,1,0,0
15,9,Jacob Eason,23,QB,231,6-6,"Georgia,Washington",Rook,,IND,1,0,0,0,0
20,13,T.Y. Hilton,31,WR,183,5-10,Florida International,8,,IND,0,0,1,0,0
21,21,Nyheim Hines,24,RB,196,5-9,North Carolina St.,2,,IND,0,1,0,0,0
23,83,Marcus Johnson,26,WR,207,6-1,Texas,3,,IND,0,0,1,0,0
32,14,Zach Pascal,26,WR,214,6-2,Old Dominion,2,,IND,0,0,1,0,0
33,85,Dezmon Patmon,22,WR,225,6-4,Washington St.,Rook,,IND,0,0,1,0,0
35,11,Michael Pittman Jr.,23,WR,223,0-0,USC,Rook,,IND,0,0,1,0,0
38,17,Philip Rivers,39,QB,228,6-5,North Carolina St.,16,,IND,1,0,0,0,0
46,28,Jonathan Taylor,21,RB,226,5-10,Wisconsin,Rook,,IND,0,1,0,0,0
47,86,Noah Togiai,23,TE,246,6-4,Oregon St.,Rook,,IND,0,0,0,1,0
49,20,Jordan Wilkins,26,RB,216,6-1,Mississippi,2,,IND,0,1,0,0,0
