No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
23,Cam Akers ,21,RB,217,5-10,Florida St.,Rook,LAR,0,1,0,0,0,0
34,Malcolm Brown ,27,RB,222,5-11,Texas,5,LAR,0,1,0,0,0,0
30,Raymond Calais,22,RB,188,5-8,Louisiana,Rook,LAR,0,1,0,0,0,0
81,Gerald Everett,26,TE,240,6-3,South Alabama,3,LAR,0,0,0,1,0,0
2,Kai Forbath,33,K,197,5-11,UCLA,9,LAR,0,0,0,0,1,0
16,Jared Goff,26,QB,222,6-4,California,4,LAR,1,0,0,0,0,0
27,Darrell Henderson,23,RB,208,5-8,Memphis,1,LAR,0,1,0,0,0,0
89,Tyler Higbee,27,TE,255,6-6,Western Kentucky,4,LAR,0,0,0,1,0,0
88,Brycen Hopkins,23,TE,245,6-4,Purdue,Rook,LAR,0,0,0,1,0,0
83,Trishton Jackson,22,WR,191,6-1,Syracuse,Rook,LAR,0,0,1,0,0,0
12,Van Jefferson ,24,WR,200,6-1,"Mississippi,Florida",Rook,LAR,0,0,1,0,0,0
35,Xavier Jones,23,RB,208,5-11,Southern Methodist,Rook,LAR,0,1,0,0,0,0
10,Cooper Kupp,27,WR,208,6-2,East. Washington,3,LAR,0,0,1,0,0,0
82,Johnny Mundt,26,TE,233,6-4,Oregon,3,LAR,0,0,0,1,0,0
11,Josh Reynolds,25,WR,196,6-3,Texas A&M,3,LAR,0,0,1,0,0,0
14,Nsimba Webster,24,WR,180,5-10,East. Washington,1,LAR,0,0,1,0,0,0
9,John Wolford,25,QB,200,6-1,Wake Forest,Rook,LAR,1,0,0,0,0,0
17,Robert Woods,28,WR,195,6-0,USC,7,LAR,0,0,1,0,0,0
