No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
88,Jordan Akins,28,TE,243,6-4,Central Florida,2,HOU,0,0,0,1,0,0
85,Pharaoh Brown,26,TE,258,6-6,Oregon,3,HOU,0,0,0,1,0,0
14,DeAndre Carter ,27,WR,190,5-8,Sacramento St.,2,HOU,0,0,1,0,0,0
18,Randall Cobb,30,WR,192,5-10,Kentucky,9,HOU,0,0,1,0,0,0
13,Brandin Cooks,27,WR,183,5-10,Oregon St.,6,HOU,0,0,1,0,0,0
82,Isaiah Coulter,,WR,198,6-2,Rhode Island,Rook,HOU,0,0,1,0,0,0
16,Keke Coutee,23,WR,180,5-11,Texas Tech,2,HOU,0,0,1,0,0,0
7,Ka'imi Fairbairn,26,K,183,6-0,UCLA,3,HOU,0,0,0,0,1,0
87,Darren Fells,34,TE,270,6-7,UC Irvine,7,HOU,0,0,0,1,0,0
15,Will Fuller,26,WR,184,6-0,Notre Dame,4,HOU,0,0,1,0,0,0
44,Cullen Gillaspia,25,RB,235,6-2,Texas A&M,1,HOU,0,1,0,0,0,0
38,Buddy Howell ,24,RB,215,6-1,Florida Atlantic,2,HOU,0,1,0,0,0,0
31,David Johnson,29,RB,224,6-1,Northern Iowa,5,HOU,0,1,0,0,0,0
25,Duke Johnson,27,RB,210,5-9,Miami (FL),5,HOU,0,1,0,0,0,0
2,A.J. McCarron,30,QB,215,6-3,Alabama,6,HOU,1,0,0,0,0,0
12,Kenny Stills,28,WR,202,6-1,Oklahoma,7,HOU,0,0,1,0,0,0
4,Deshaun Watson ,25,QB,220,6-2,Clemson,3,HOU,1,0,0,0,0,0
