,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
8,32,Chris Carson,26,RB,222,5-11,Oklahoma St.,3,,SEA,0,1,0,0,0,0
10,31,DeeJay Dallas,22,RB,217,5-10,Miami (FL),Rook,,SEA,0,1,0,0,0,0
13,89,Will Dissly,24,TE,265,6-4,Washington,2,,SEA,0,0,0,1,0,0
18,10,Josh Gordon,29,WR,225,6-3,"Utah,Baylor",8,,SEA,0,0,1,0,0,0
21,19,Penny Hart,24,WR,182,5-8,,Rook,,SEA,0,0,1,0,0,0
22,86,Jacob Hollister,27,TE,245,6-4,Wyoming,3,,SEA,0,0,0,1,0,0
23,25,Travis Homer,22,RB,202,5-10,Miami (FL),1,,SEA,0,1,0,0,0,0
24,30,Carlos Hyde,30,RB,229,6-0,Ohio St.,6,,SEA,0,1,0,0,0,0
28,16,Tyler Lockett,28,WR,182,5-10,Kansas St.,5,,SEA,0,0,1,0,0,0
30,14,D.K. Metcalf,23,WR,229,6-4,Mississippi,1,,SEA,0,0,1,0,0,0
33,83,David Moore,25,WR,215,6-0,East Central (OK),3,,SEA,0,0,1,0,0,0
34,5,Jason Myers,29,K,190,5-10,Marist,5,,SEA,0,0,0,0,1,0
37,88,Greg Olsen,35,TE,255,6-5,Miami (FL),13,,SEA,0,0,0,1,0,0
39,84,Colby Parkinson,,TE,252,6-7,Stanford,Rook,,SEA,0,0,0,1,0,0
47,7,Geno Smith,30,QB,221,6-3,West Virginia,7,,SEA,1,0,0,0,0,0
49,18,Freddie Swain,22,WR,197,6-0,Florida,Rook,,SEA,0,0,1,0,0,0
51,82,Luke Willson,30,TE,255,6-5,Rice,7,,SEA,0,0,0,1,0,0
52,3,Russell Wilson ,32,QB,215,5-11,"Wisconsin,North Carolina St.",8,,SEA,1,0,0,0,0,0
