,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
0,17,Davante Adams,28,WR,215,6-1,Fresno St.,6,,GB,0,0,1,0,0,0
6,8,Tim Boyle,26,QB,232,6-4,East. Kentucky,2,,GB,1,0,0,0,0,0
11,2,Mason Crosby,36,K,207,6-1,Colorado,13,,GB,0,0,0,0,1,0
12,32,Tyler Ervin ,27,RB,185,5-10,San Jose St.,4,,GB,0,1,0,0,0,0
19,33,Aaron Jones,26,RB,208,5-9,Texas-El Paso,3,,GB,0,1,0,0,0,0
23,89,Marcedes Lewis,36,TE,267,6-6,UCLA,14,,GB,0,0,0,1,0,0
25,10,Jordan Love ,22,QB,224,6-4,Utah St.,Rook,,GB,1,0,0,0,0,0
26,45,John Lovett,24,TE,225,6-3,Princeton,Rook,,GB,0,0,0,1,0,0
33,12,Aaron Rodgers ,37,QB,225,6-2,"Butte JC (CA),California",15,,GB,1,0,0,0,0,0
38,82,Darrius Shepherd,25,WR,186,5-11,North Dakota St.,1,,GB,0,0,1,0,0,0
41,19,Equanimeous St. Brown,24,WR,214,6-5,Notre Dame,2,,GB,0,0,1,0,0,0
42,87,Jace Sternberger,24,TE,251,6-4,Texas A&M,1,,GB,0,0,0,1,0,0
45,86,Malik Taylor,25,WR,216,6-2,Ferris St.,Rook,,GB,0,0,1,0,0,0
46,85,Robert Tonyan ,26,TE,237,6-5,Indiana St.,2,,GB,0,0,0,1,0,0
48,83,Marquez Valdes-Scantling,26,WR,206,6-4,"North Carolina St.,South Florida",2,,GB,0,0,1,0,0,0
50,30,Jamaal Williams,25,RB,213,6-0,BYU,3,,GB,0,1,0,0,0,0
